artist_id,artist_name,artist_genre,artist_followers,artist_popularity
0KpCz7V5XRkqKuM1JDf56O,Cousin Stizz,`boston hip hop` `deep underground hip hop` `hip hop` `pop rap` `rap` `southern hip hop` `trap` `trap soul` `underground hip hop` `vapor trap` ,130231,59
0kq4QvLGV5t1ZoE6ittrLQ,Halford,`birmingham metal` `hard rock` `metal` `neo-trad metal` `power metal` `progressive metal` `rock` `speed metal` `thrash metal` ,111804,44
0KyCXNSa7ZMb5LydfKbLG3,David Lee Roth,`album rock` `classic rock` `glam metal` `hard rock` `metal` `neo classical metal` `rock` ,287632,53
0L9xkvBPcEp1nrhDrodxc5,Level 42,`art rock` `brit funk` `classic uk pop` `dance rock` `mellow gold` `new romantic` `new wave` `new wave pop` `post-disco` `soft rock` `synthpop` ,311315,59
0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,`alternative rock` `dance-punk` `garage rock` `indie rock` `modern rock` `rock` ,867022,65
0LIl9fjMPEZp8UDiL8Yuo4,4B,`bass trap` `brostep` `edm` `electro house` `electronic trap` ,57880,57
0lO2c86rQmrRJArBxgw0v8,Horse Feathers,`chamber pop` `folk-pop` `indie folk` `new americana` `stomp and holler` ,61430,46
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,`album rock` `art rock` `classic rock` `classic uk pop` `country rock` `folk` `folk rock` `mellow gold` `philly soul` `power pop` `psychedelic rock` `rock` `roots rock` `singer-songwriter` `soft rock` `symphonic rock` `zolo` ,149969,59
0LVrQUinPUBFvVD5pLqmWY,Doves,`alternative rock` `britpop` `chamber psych` `electronica` `indie rock` `modern rock` `new rave` `rock` ,154266,55
0m7gTbaLi5fM22MiRaRf7G,Tex Ritter,`cowboy western` ,20747,34
0m9husdLSRyNHOuxFAr5hB,Rayven Justice,`deep pop r&b` `slow game` `west coast trap` ,36013,52
0Maq4Nk8ZM6keGZjTCXGIH,Ye Ali,`alternative r&b` `deep pop r&b` `indie r&b` `trap soul` ,18014,44
0MAvx5yzdhylg2ztJC3MD3,Robin Trower,`album rock` `art rock` `blues rock` `british blues` `classic rock` `electric blues` `hard rock` `modern blues` `psychedelic rock` `rock` `southern rock` ,116120,49
0mbgkaYR8KNUb5s3s1yYHG,Papoose,`battle rap` `hardcore hip hop` ,172821,50
0MeLMJJcouYXCymQSHPn8g,Sleeping At Last,`ambient worship` `dreamo` `folk-pop` `pop` ,756108,75
0mFblCBw0GcoY7zY1P8tzE,Domenico Scarlatti,`baroque` `classical` `early music` `italian baroque` ,74094,57
0MkAzpDHUZpuDnWGUII4RN,The Appleseed Cast,`dreamo` `emo` `emo punk` `indie rock` `lawrence ks indie` `midwest emo` `post-rock` ,26991,39
0MlOPi3zIDMVrfA9R04Fe3,American Authors,`modern rock` `neo mellow` `pop rock` ,927531,70
0MMNJf1JrxeSFE2pcpX50b,K.T. Oslin,`country` ,57639,41
0MmnmsAuQKRFpo6vJElcaU,Amber Run,`folk-pop` `indie anthem-folk` `indie folk` `modern rock` `pop` ,310649,67
0MVp3LuNho9Hk6Q1owsWwt,Right Away, Great Captain!,`dreamo` `stomp and holler` ,30777,41
0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,`permanent wave` `post-grunge` `rock` ,985788,67
0mZbFsWo9tHccJsYkrIczQ,Good Gas,`vapor trap` ,17897,52
0n7CYdHaJm01NFXRhwbbKs,CASISDEAD,`grime` `uk alternative hip hop` `uk drill` `uk hip hop` ,32276,50
